"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"211","2020/07/29","AU",25203200,716,13,16298,189,4857,4229,0.000646663915693245,2.84090909090909e-05,0.000192713623666836,0.000167796152869477
"212","2020/07/30","AU",25203200,605,7,16903,196,5101,4475,0.000670668803961402,2.40048882681564e-05,0.000202394933976638,0.000177556818181818
"213","2020/07/31","AU",25203200,377,5,17280,201,5211,4386,0.000685627221940071,1.49584179786694e-05,0.000206759459116303,0.000174025520568817
"214","2020/08/01","AU",25203200,615,7,17895,208,5467,4593,0.000710028885220924,2.44016632808532e-05,0.000216916899441341,0.00018223876333164
"215","2020/08/02","AU",25203200,423,13,18318,221,5424,4723,0.000726812468257999,1.67835830370747e-05,0.000215210766886745,0.000187396838496699
"216","2020/08/03","AU",25203200,412,11,18730,232,5428,4780,0.000743159598781107,1.63471305231082e-05,0.000215369476891823,0.000189658456069071
"217","2020/08/04","AU",25203200,715,15,19445,247,5850,5042,0.000771529012188928,2.83694134078212e-05,0.000232113382427628,0.000200053961401727
"218","2020/08/05","AU",25203200,445,8,19890,255,5940,4955,0.000789185500253936,1.76564880650076e-05,0.000235684357541899,0.000196602018791265
"219","2020/08/06","AU",25203200,382,11,20272,266,5869,4969,0.000804342305738954,1.51568054850178e-05,0.000232867254951752,0.00019715750380904
"220","2020/08/07","AU",25203200,426,12,20698,278,5763,5116,0.000821244921279838,1.69026155408837e-05,0.000228661439817166,0.000202990096495683
"221","2020/08/08","AU",25203200,386,17,21084,295,5781,4786,0.000836560436769934,1.53155154900965e-05,0.00022937563484002,0.000189896521076689
"222","2020/08/09","AU",25203200,313,18,21397,313,5815,4494,0.000848979494667344,1.24190578974099e-05,0.000230724669883189,0.000178310690705942
"223","2020/08/10","AU",25203200,316,18,21713,331,5415,4433,0.000861517585068563,1.25380904012189e-05,0.000214853669375317,0.000175890363128492
"224","2020/08/11","AU",25203200,414,21,22127,352,5224,4232,0.00087794407059421,1.64264855256475e-05,0.000207275266632809,0.000167915185373286
"225","2020/08/12","AU",25203200,231,9,22358,361,5078,4040,0.000887109573387506,9.16550279329609e-06,0.000201482351447435,0.000160297105129507
"226","2020/08/13","AU",25203200,384,14,22742,375,4847,4012,0.000902345733875064,1.52361604875571e-05,0.000192316848654139,0.000159186135093956
"227","2020/08/14","AU",25203200,293,4,23035,379,4717,3590,0.00091397124174708,1.16255078720163e-05,0.000187158773489081,0.000142442229558151
"228","2020/08/15","AU",25203200,252,17,23287,396,4557,3397,0.000923969972067039,9.99873031995937e-06,0.000180810373285932,0.000134784471813103
"229","2020/08/16","AU",25203200,271,25,23558,421,4113,3286,0.000934722574911122,1.07526028440833e-05,0.000163193562722194,0.000130380269172169
"230","2020/08/17","AU",25203200,215,17,23773,438,3883,3075,0.000943253237684104,8.53066277298121e-06,0.000154067737430168,0.000122008316404266
"231","2020/08/18","AU",25203200,216,12,23989,450,3717,2905,0.000951823577958355,8.57034027425089e-06,0.000147481272219401,0.000115263141188421
"232","2020/08/19","AU",25203200,247,13,24236,463,3538,2839,0.000961623920771966,9.80034281361097e-06,0.000140378999492128,0.000112644426104622
"233","2020/08/20","AU",25203200,171,9,24407,472,3323,2694,0.000968408773489081,6.78485271711529e-06,0.000131848336719147,0.000106891188420518
"234","2020/08/21","AU",25203200,195,13,24602,485,3205,2475,0.000976145886236668,7.73711274758761e-06,0.000127166391569325,9.82018156424581e-05
"235","2020/08/22","AU",25203200,209,17,24811,502,3098,2453,0.000984438484002031,8.29259776536313e-06,0.000122920898933469,9.73289106145251e-05
"236","2020/08/23","AU",25203200,104,15,24915,517,2788,2173,0.000988564944134078,4.12646013204672e-06,0.000110620873539868,8.62192102590147e-05
"237","2020/08/24","AU",25203200,138,8,25053,525,2695,2018,0.000994040439309294,5.47549517521585e-06,0.000106930865921788,8.00691975622143e-05
"238","2020/08/25","AU",25203200,151,24,25204,549,2462,1917,0.00100003174200102,5.99130269172169e-06,9.76860081259523e-05,7.60617699339766e-05
"239","2020/08/26","AU",25203200,118,23,25322,572,2287,1764,0.00100471368715084,4.68194514982224e-06,9.07424454037582e-05,6.99911122397156e-05
"240","2020/08/27","AU",25203200,126,11,25448,583,2161,1675,0.00100971305231082,4.99936515997969e-06,8.57430802437786e-05,6.64598146267141e-05
"241","2020/08/28","AU",25203200,99,17,25547,600,1989,1558,0.00101364112493652,3.92807262569832e-06,7.89185500253936e-05,6.18175469781615e-05
"242","2020/08/29","AU",25203200,123,11,25670,611,1897,1434,0.00101852145759269,4.88033265617065e-06,7.5268219908583e-05,5.68975368207212e-05
