"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"118","2020/04/27","US",329064917,23715,1519,1000865,59465,348216,285148,0.00304154271176833,7.20678467221712e-05,0.00105819849522275,0.000866540263847088
"119","2020/04/28","US",329064917,24575,2226,1025440,61691,342789,281816,0.00311622402457446,7.46813128061294e-05,0.00104170630866736,0.000856414602228775
"120","2020/04/29","US",329064917,26459,2407,1051899,64098,336182,282213,0.00319663065145289,8.04066268784284e-05,0.00102162820353165,0.000857621051107068
"121","2020/04/30","US",329064917,29205,2191,1081104,66289,337480,281598,0.00328538213631567,8.87514848627877e-05,0.00102557271396999,0.000855752118965633
"122","2020/05/01","US",329064917,34907,1914,1116011,68203,346325,290579,0.00339146150909791,0.00010607937278224,0.0010524519087521,0.000883044606058688
"123","2020/05/02","US",329064917,27348,1730,1143359,69933,343853,289016,0.00347456973056778,8.31082214698688e-05,0.00104493971321774,0.000878294783396797
"124","2020/05/03","US",329064917,24321,1197,1167680,71130,342248,279725,0.00354847915920493,7.39094286371464e-05,0.0010400622561657,0.000850060232947896
"125","2020/05/04","US",329064917,24068,1389,1191748,72519,337405,271466,0.00362161974258714,7.31405833822145e-05,0.00102534479541616,0.000824961841799744
"126","2020/05/05","US",329064917,24528,2216,1216276,74735,328321,265614,0.00369615822643287,7.4538483845727e-05,0.000997739300175837,0.000807178116772625
"127","2020/05/06","US",329064917,24569,2309,1240845,77044,320563,263695,0.00377082130575469,7.46630793218227e-05,0.000974163404967294,0.000801346440708537
"128","2020/05/07","US",329064917,27429,1925,1268274,78969,317612,267409,0.0038541756792627,8.33543735080091e-05,0.000965195569602456,0.000812632967494374
"129","2020/05/08","US",329064917,26830,1759,1295104,80728,317954,269664,0.00393570974325409,8.15340639913917e-05,0.000966234878207937,0.000819485718679637
"130","2020/05/09","US",329064917,25176,1463,1320280,82191,319415,268381,0.00401221744340494,7.6507700150849e-05,0.000970674731636615,0.000815586791952057
