"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","icu_patients","hosp_patients","weekly_icu_admissions","weekly_hosp_admissions","countrycode","population","cases_daily","cases_infected","cases_active","p_infected","p_daily","p_active"
2020-07-13,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-14,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-15,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-16,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-17,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-18,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-19,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-20,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-21,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-22,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-23,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-24,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-25,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-26,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-27,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-28,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-29,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-30,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-31,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
