"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active","p_cases_active_smooth","p_cases_active_smooth_slope","p_cases_active_smooth_slope2"
2020-09-30,"AG",101,3,99000,0,0,0,101,6,0,0.00102020202020202,0,6.06060606060606e-05,0,9.64818961268907e-05,3.70228481688261e-06,-6.27140776248049e-08
2020-10-01,"AG",101,3,99000,0,0,0,101,5,0,0.00102020202020202,0,5.05050505050505e-05,0,9.9543291264558e-05,3.53826280364633e-06,-9.33630578949995e-08
2020-10-02,"AG",106,3,99000,5,0,5,106,10,75,0.00107070707070707,5.05050505050505e-05,0.000101010101010101,0.000757575757575758,0.000102375363015217,3.35277356142736e-06,-1.21861765093488e-07
2020-10-03,"AG",107,3,99000,1,0,1,107,11,15,0.00108080808080808,1.01010101010101e-05,0.000111111111111111,0.000151515151515152,0.000104970063602709,3.14951677107991e-06,-1.47557328183876e-07
2020-10-04,"AG",107,3,99000,0,0,0,107,11,0,0.00108080808080808,0,0.000111111111111111,0,0.000107326016661984,2.93303155078508e-06,-1.70060199188508e-07
2020-10-05,"AG",107,3,99000,0,0,0,107,10,0,0.00108080808080808,0,0.000101010101010101,0,0.000109449737637129,2.70774181241456e-06,-1.8898390259388e-07
2020-10-06,"AG",107,3,99000,0,0,0,107,10,0,0.00108080808080808,0,0.000101010101010101,0,0.000111324079863517,2.47369728943773e-06,-2.04764587907479e-07
2020-10-07,"AG",108,3,99000,1,0,1,108,10,15,0.00109090909090909,1.01010101010101e-05,0.000101010101010101,0.000151515151515152,0.000112958445133241,2.23585897811389e-06,-2.17067304255407e-07
2020-10-08,"AG",111,3,99000,3,0,3,111,13,45,0.00112121212121212,3.03030303030303e-05,0.000131313131313131,0.000454545454545455,0.000114355708998527,1.99672433055161e-06,-2.26008205145958e-07
2020-10-09,"AG",111,3,99000,0,0,0,111,10,0,0.00112121212121212,0,0.000101010101010101,0,0.000115519284853524,1.75820354180253e-06,-2.31885538212897e-07
2020-10-10,"AG",111,3,99000,0,0,0,111,10,0,0.00112121212121212,0,0.000101010101010101,0,0.000116452741883539,1.52112087025913e-06,-2.35318446754326e-07
2020-10-11,"AG",111,3,99000,0,0,0,111,10,0,0.00112121212121212,0,0.000101010101010101,0,0.000117159551395841,1.2849689597853e-06,-2.37128808771543e-07
2020-10-12,"AG",111,3,99000,0,0,0,111,10,0,0.00112121212121212,0,0.000101010101010101,0,0.000117645139297195,1.05350990561307e-06,-2.36697897304112e-07
2020-10-13,"AG",111,3,99000,0,0,0,111,10,0,0.00112121212121212,0,0.000101010101010101,0,0.000117911339093357,8.2548232668589e-07,-2.35062775238e-07
2020-10-14,"AG",112,3,99000,1,0,1,112,6,15,0.00113131313131313,1.01010101010101e-05,6.06060606060606e-05,0.000151515151515152,0.000117959409596436,6.00616766318201e-07,-2.32684594038902e-07
