ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
BJ,BEN,Benin,Atlantique,2021-03-10,2021-02-22,102,4,17,0.0392156862745098,0.0376695877073438,0.0349291288291374,0.000114750132073214,0.0294117647058824,0.032788840416564,0.0190098794768754,8.53496435883108e-05,0.0574015702434623,0.0168542943623548,17,3,0,0,0.0412457492235961,,,0.0412457492235961
BJ,BEN,Benin,Atlantique,2021-03-11,2021-02-23,102,5,17,0.0392156862745098,0.0376695877073438,0.0333451568758209,0.000109636286446023,0.0294117647058824,0.032788840416564,0.018147816295323,8.15149865429625e-05,0.0567637750185349,0.0166726622187161,18,4,0,0,0.0416740271450541,,,0.0416740271450541
BJ,BEN,Benin,Atlantique,2021-03-12,2021-02-24,103,5,17,0.0388349514563107,0.0373112541172863,0.0327998701926134,0.000107873838940124,0.029126213592233,0.0324752782875229,0.0178510486840028,8.01941049678449e-05,0.0561399972710785,0.0164948976212466,18,4,0,0,0.0421058252616607,,,0.0421058252616607
BJ,BEN,Benin,Atlantique,2021-03-13,2021-02-25,102,7,17,0.0392156862745098,0.0376695877073438,0.0312836158479015,0.00010296772162295,0.0294117647058824,0.032788840416564,0.0170258402314743,7.65190617099057e-05,0.0540607381128904,0.0162941493293736,16,3,0,0,0.0425298005341557,,,0.0425298005341557
BJ,BEN,Benin,Atlantique,2021-03-14,2021-02-26,101,8,17,0.0396039603960396,0.0380348662281565,0.0305308002942053,0.000100528923686982,0.0297029702970297,0.0331085145091172,0.0166161268082141,7.46932523932015e-05,0.0534666640676938,0.0161201522942413,16,3,0,0,0.0429339988132766,,,0.0429339988132766
BJ,BEN,Benin,Atlantique,2021-03-15,2021-02-26,104,3,18,0.0384615384615385,0.0369596693901953,0.0299407018207348,9.86159025673568e-05,0.0288461538461538,0.0321676545583471,0.0162949707634975,7.32615432954445e-05,0.0517602811719163,0.0156197397480854,16,3,0,0,0.0433064495408238,,,0.0433064495408238
BJ,BEN,Benin,Atlantique,2021-03-16,2021-02-27,102,7,18,0.0490196078431373,0.0419004514931721,0.0352895758434832,0.000109187906535379,0.0392156862745098,0.0376695877073438,0.0210181019440718,8.48861647796847e-05,0.0536247644184316,0.015968099995324,16,3,0,0,0.0436352834505466,,,0.0436352834505466
BJ,BEN,Benin,Atlantique,2021-03-17,2021-02-28,102,3,18,0.0588235294117647,0.0456624358497672,0.0415862002673515,0.000117285774788503,0.0490196078431373,0.0419004514931721,0.0275208179296675,9.61092120707635e-05,0.054207642292545,0.0161366946620847,15,3,0,0,0.0439090095403862,,,0.0439090095403862
BJ,BEN,Benin,Atlantique,2021-03-18,2021-03-01,100,4,18,0.06,0.046546565661405,0.0423847632999303,0.000119488155538198,0.05,0.042716424707947,0.0280492890975952,9.79281392773652e-05,0.0527092196600681,0.0161006729905863,13,3,0,0,0.0441167054387525,,,0.0441167054387525
BJ,BEN,Benin,Atlantique,2021-03-19,2021-03-03,101,10,17,0.0594059405940594,0.0461002688546413,0.0431360260552673,0.000121558352669252,0.0495049504950495,0.042304508043671,0.0285464579991551,9.96384058417584e-05,0.0548033306693861,0.0163088826381446,15,3,0,0,0.044248484763853,,,0.044248484763853
BJ,BEN,Benin,Atlantique,2021-03-20,2021-03-03,112,11,18,0.0625,0.0448295858317766,0.0439632091894211,0.000117849923439967,0.0446428571428571,0.0382470503905451,0.0263492082992272,9.20730870365118e-05,0.0535201307317615,0.0153848975672189,16,4,0,0,0.0442954519477206,,,0.0442954519477206
BJ,BEN,Benin,Atlantique,2021-03-21,2021-03-05,100,4,17,0.06,0.046546565661405,0.0446534431800697,0.000125900993307026,0.04,0.0384072934108425,0.0248470308972403,9.48844037063278e-05,0.0162182214338671,0.00910143938166074,14,5,0,0,0.0442500577329704,,,0.0442500577329704
BJ,BEN,Benin,Atlantique,2021-03-22,2021-03-05,105,5,18,0.0571428571428571,0.0443973823343272,0.0413847614203924,0.000116884346425589,0.0380952380952381,0.0366146447649092,0.0230282005699029,8.80207320621101e-05,0.0156950530005166,0.00881018622742131,16,6,0,0,0.0441063366903812,,,0.0441063366903812
BJ,BEN,Benin,Atlantique,2021-03-23,2021-03-06,103,9,18,0.0388349514563107,0.0373112541172863,0.0200316204665351,8.42617862691657e-05,0.029126213592233,0.0324752782875229,0.0154920456613662,7.42729352535098e-05,0.0224763394871528,0.0105636220035751,14,5,0,0,0.0438595860304725,,,0.0438595860304725
BJ,BEN,Benin,Atlantique,2021-03-24,2021-03-08,103,6,17,0.0485436893203884,0.0415040324517794,0.0367022576643938,0.00011168256433083,0.0388349514563107,0.0373112541172863,0.0322743410693488,0.00010496959857176,0.0237984771040441,0.0108625239187254,14,5,0,0,0.0435069956723152,,,0.0435069956723152
BJ,BEN,Benin,Atlantique,2021-03-25,2021-03-09,101,5,17,0.0495049504950495,0.042304508043671,0.0402667951065854,0.000120772959749273,0.0396039603960396,0.0380348662281565,0.0355295720626675,0.000113726156805675,0.0267333320338469,0.0115585168562697,15,5,0,0,0.043047335421491,,,0.043047335421491
BJ,BEN,Benin,Atlantique,2021-03-26,2021-03-09,104,3,18,0.0480769230769231,0.0411150366322683,0.0395362150113435,0.000118626842600666,0.0384615384615385,0.0369596693901953,0.0348849417146912,0.000111700077905155,0.028468154644554,0.0117253168478943,15,5,0,0,0.0424813640697992,,,0.0424813640697992
