ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,p_cli_smooth,p_cases_active
AR,ARG,Argentina,Entre Ríos,2020-05-29,2020-05-29,238,238,1,0.00840336134453782,0.011597213562253,0.00913188065163001,0.000194825742317196,0.00420168067226891,0.0082178238607289,0.00628668778748304,0.000161882461261426,0.000340374073633534,0.000298294768901623,0,0,0.0034622538877013,0.0034622538877013
AR,ARG,Argentina,Entre Ríos,2020-05-30,2020-05-30,228,228,1,0,0,0,0,0,0,0,0,0.00105247246452474,0.000532334412710634,0,0,0.00344336919164694,0.00344336919164694
AR,ARG,Argentina,Entre Ríos,2020-05-31,2020-05-31,242,242,1,0.00413223140495868,0.00808227388483068,0.00315256174574211,0.000114824380786757,0.00413223140495868,0.00808227388483068,0.00315256174574211,0.000114824380786757,0.000604950559441112,0.000395107538463396,0,0,0.00341643528412476,0.00341643528412476
AR,ARG,Argentina,Entre Ríos,2020-06-01,2020-06-01,197,197,1,0,0,0,0,0,0,0,0,0.00089782344932927,0.000530331770478101,0,0,0.00338171423162073,0.00338171423162073
AR,ARG,Argentina,Entre Ríos,2020-06-02,2020-06-02,220,220,1,0.00454545454545455,0.00888865657959676,0.00194236818161,9.22166685595513e-05,0,0,0,0,0.00123617674924179,0.000587267007210312,0,0,0.00333957018662517,0.00333957018662517
AR,ARG,Argentina,Entre Ríos,2020-06-03,2020-06-03,174,174,1,0.0114942528735632,0.0158381130979424,0.00778420044726996,0.000180261593971603,0.00574712643678161,0.0112317459121736,0.00384860702874254,0.000127001131473001,0.00390638617065462,0.00117909472786237,3,1,0.00329055639387567,0.00329055639387567
AR,ARG,Argentina,Entre Ríos,2020-06-04,2020-06-04,182,182,1,0.0054945054945055,0.0107394068758001,0.00426334853234398,0.000135609494825779,0.0054945054945055,0.0107394068758001,0.00426334853234398,0.000135609494825779,0.00175797598470067,0.000769775271546252,0,0,0.00323511119093674,0.00323511119093674
AR,ARG,Argentina,Entre Ríos,2020-06-05,2020-06-05,174,174,1,0,0,0,0,0,0,0,0,0.00221931765929842,0.000886909863473984,0,0,0.00317397442653764,0.00317397442653764
AR,ARG,Argentina,Entre Ríos,2020-06-06,2020-06-06,201,201,1,0.00497512437810945,0.00972677797519114,0.0051972189903313,0.000152406379507078,0.00497512437810945,0.00972677797519114,0.0051972189903313,0.000152406379507078,0.00254687864052156,0.000881307771727414,0,0,0.00310792906118702,0.00310792906118702
AR,ARG,Argentina,Entre Ríos,2020-06-07,2020-06-07,194,194,1,0.00515463917525773,0.0100768350749225,0.00410565031796431,0.00013318860598241,0.00515463917525773,0.0100768350749225,0.00410565031796431,0.00013318860598241,0.00318276489795545,0.00101034249914629,0,0,0.00303785603485918,0.00303785603485918
