"date","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-09-03,"PT","Portugal","PRT",10276617,23512,23389,0.0018288533514801,0.00128272433503988,0.00237498236792031,0.00123341272541681,0.000784781477719515,0.0016820439731141,0.0149285471248724,0.0133784962843508,0.016478597965394,0.00282183932617897,0.0027284586854932,0.00291521996686475,0.00123341272541681
2020-09-04,"PT","Portugal","PRT",10276617,23321,23201,0.00192959135543073,0.00136635877508882,0.00249282393577263,0.00132927404485228,0.000861654205052063,0.00179689388465249,0.0150508125723597,0.0134881637340531,0.0166134614106663,0.00274386351271456,0.00265140616834333,0.00283632085708579,0.00132927404485228
2020-09-05,"PT","Portugal","PRT",10276617,23100,22986,0.00186147186147186,0.00130561144464307,0.00241733227830066,0.00116883116883117,0.000728211341149375,0.00160945099651296,0.0147186147186147,0.0131656710281083,0.0162715584091212,0.00281549556826222,0.00272140553117964,0.00290958560534481,0.00116883116883117
2020-09-06,"PT","Portugal","PRT",10276617,22859,22753,0.00196859005205827,0.00139398528449781,0.00254319481961873,0.00126864692243755,0.000807208021534751,0.00173008582334035,0.0146550592764338,0.0130972746539826,0.0162128438988849,0.00283354714161682,0.00273867474455664,0.002928419538677,0.00126864692243755
2020-09-07,"PT","Portugal","PRT",10276617,22697,22597,0.00211481693615896,0.00151717572236933,0.0027124581499486,0.00136581927126933,0.000885352128146797,0.00184628641439186,0.0148918359254527,0.0133161126771932,0.0164675591737122,0.00290738209530235,0.00281095400416967,0.00300381018643503,0.00136581927126933
2020-09-08,"PT","Portugal","PRT",10276617,22464,22364,0.00227029914529915,0.00164792357253546,0.00289267471806283,0.00155804843304843,0.00104227801098409,0.00207381885511278,0.0148682336182336,0.013285596323191,0.0164508709132762,0.00271831751163426,0.00262458409944476,0.00281205092382377,0.00155804843304843
2020-09-09,"PT","Portugal","PRT",10276617,22394,22291,0.00236670536750915,0.0017302912290421,0.00300311950597621,0.00165222827543092,0.00112029371772173,0.00218416283314011,0.0149147092971332,0.0133271623847066,0.0165022562095598,0.00275938423409736,0.00266479287866127,0.00285397558953344,0.00165222827543092
2020-09-10,"PT","Portugal","PRT",10276617,22340,22239,0.00246195165622202,0.00181210483063574,0.0031117984818083,0.00183527305282005,0.00127402097739184,0.00239652512824827,0.01544315129812,0.0138262077099026,0.0170600948863373,0.00283795168609964,0.00274191483801336,0.00293398853418591,0.00183527305282005
2020-09-11,"PT","Portugal","PRT",10276617,22150,22045,0.00257336343115124,0.00190616922035945,0.00324055764194303,0.00194130925507901,0.0013616315082845,0.00252098700187352,0.0153047404063205,0.013688056432569,0.0169214243800721,0.00267976737120042,0.00258602823075103,0.00277350651164981,0.00194130925507901
2020-09-12,"PT","Portugal","PRT",10276617,21996,21896,0.00254591743953446,0.00187996249217567,0.00321187238689325,0.0019549008910711,0.00137116863683798,0.00253863314530423,0.0155937443171486,0.0139564052567965,0.0172310833775006,0.00274281164475634,0.00264765714201793,0.00283796614749476,0.0019549008910711
2020-09-13,"PT","Portugal","PRT",10276617,21880,21789,0.00260511882998172,0.00192970217022164,0.0032805354897418,0.00205667276051188,0.00145638433503281,0.00265696118599096,0.0153564899451554,0.0137271566834421,0.0169858232068687,0.00283075153898843,0.00273385085975624,0.00292765221822062,0.00205667276051188
2020-09-14,"PT","Portugal","PRT",10276617,21842,21751,0.00247230107133046,0.00181371119574029,0.00313089094692064,0.00206025089277539,0.00145891918309299,0.00266158260245779,0.0150627231938467,0.0134474055960184,0.016678040791675,0.00276716837135226,0.0026712754347265,0.00286306130797802,0.00206025089277539
2020-09-15,"PT","Portugal","PRT",10276617,21818,21728,0.00275002291685764,0.00205514134199254,0.00344490449172275,0.00229168576404803,0.00165720282085523,0.00292616870724084,0.0150792923274361,0.0134622114673075,0.0166963731875646,0.00282567315975213,0.00272872338878284,0.00292262293072143,0.00229168576404803
2020-09-16,"PT","Portugal","PRT",10276617,21842,21753,0.00288435124988554,0.00217313981758218,0.0035955626821889,0.00228916765863932,0.00165538108580452,0.00292295423147412,0.0143301895430821,0.0127540539212657,0.0159063251648986,0.00289181539913384,0.00279379713662122,0.00298983366164647,0.00228916765863932
2020-09-17,"PT","Portugal","PRT",10276617,21797,21705,0.00284442813231179,0.00213741306089226,0.00355144320373131,0.00224801578198835,0.00161929081477219,0.0028767407492045,0.0142221406615589,0.0126502521365368,0.015794029186581,0.00301382604651567,0.00291365691234602,0.00311399518068532,0.00224801578198835
2020-09-18,"PT","Portugal","PRT",10276617,22078,21987,0.00289881329830601,0.0021896472006547,0.00360797939595731,0.00212881601594347,0.00152085668034076,0.00273677535154619,0.014448772533744,0.012874705203877,0.016022839863611,0.00300692261550779,0.00290751163321125,0.00310633359780434,0.00212881601594347
2020-09-19,"PT","Portugal","PRT",10276617,22514,22418,0.00288709247579284,0.0021862437684085,0.00358794118317718,0.0021764235586746,0.0015676996638462,0.00278514745350301,0.0144354623789642,0.0128774186453707,0.0159935061125577,0.00297183698409465,0.00287396059734356,0.00306971337084575,0.0021764235586746
2020-09-20,"PT","Portugal","PRT",10276617,23110,23012,0.00285590653396798,0.00216788968504995,0.00354392338288601,0.00216356555603635,0.00156451589543387,0.00276261521663883,0.0144526179143228,0.0129138960203055,0.0159913398083401,0.00300335509939031,0.00290624080393156,0.00310046939484906,0.00216356555603635
2020-09-21,"PT","Portugal","PRT",10276617,23427,23328,0.00268920476373415,0.00202604686282347,0.00335236266464484,0.00209160370512656,0.00150657821131569,0.00267662919893744,0.014726597515687,0.013184118229729,0.016269076801645,0.00301200921396589,0.0029154164675613,0.00310860196037048,0.00209160370512656
