ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
ID,IDN,Indonesia,2021-08-12,2021-08-12,1650,1650,1,0.0551515151515152,0.0110145289427164,0.0533753535683314,3.41838984414851e-05,0.036969696969697,0.00910435200795939,0.0373401167191183,2.88327838241822e-05,0.0736742577672281,0.0028589980950428,461,50,251,1322,0.0480772624984899,0.15956770502225,0.170660991094132,0.0480772624984899
ID,IDN,Indonesia,2021-08-13,2021-08-13,1590,1590,1,0.0415094339622642,0.00980430596281292,0.0468238372338826,3.17238626886495e-05,0.0320754716981132,0.00866077592492073,0.0365915504850748,2.81943187813237e-05,0.0812871430636505,0.00304502493564151,376,49,275,1245,0.0471442716377384,0.180921052631579,0.171222654567738,0.0471442716377384
ID,IDN,Indonesia,2021-08-14,2021-08-14,1560,1560,1,0.0384615384615385,0.00954294560197055,0.0421140412767586,3.02526307219783e-05,0.0288461538461538,0.00830565269273542,0.0312857375576367,2.62218802247837e-05,0.0535129195970272,0.00253438491461471,407,43,271,1217,0.0462037538667595,0.182123655913979,0.171725790826083,0.0462037538667595
ID,IDN,Indonesia,2021-08-15,2021-08-15,1547,1547,1,0.0504201680672269,0.0109036228153446,0.0554054689183346,3.48382955634784e-05,0.0342598577892696,0.0090641243304555,0.0368332959512382,2.86832851401029e-05,0.0697317149301083,0.00287587177472532,405,49,278,1192,0.0452596941006627,0.189115646258503,0.172170975552748,0.0452596941006627
ID,IDN,Indonesia,2021-08-16,2021-08-16,1556,1556,1,0.0424164524421594,0.0100137974818037,0.0468496963879919,3.23282090030369e-05,0.0334190231362468,0.00893016106624343,0.0335259603273917,2.75380554063866e-05,0.068936534032449,0.00285108497734841,403,43,277,1209,0.044316378297682,0.186406460296097,0.172559431880127,0.044316378297682
ID,IDN,Indonesia,2021-08-17,2021-08-17,1564,1564,1,0.0505115089514067,0.0108534982460899,0.0558986715909476,3.46163754978406e-05,0.0364450127877238,0.00928724755385502,0.0366910711221886,2.83292145332064e-05,0.0644648175833164,0.00275724206016969,400,47,275,1225,0.0433775817670295,0.183333333333333,0.172891769525334,0.0433775817670295
ID,IDN,Indonesia,2021-08-18,2021-08-18,1578,1578,1,0.0367553865652725,0.00928374885721075,0.034064266382788,2.80932840104442e-05,0.0278833967046895,0.00812318998754545,0.0262023553802098,2.4739071712403e-05,0.0736521299120902,0.00293559707312715,392,45,249,1241,0.0424472628027295,0.167114093959732,0.173170196605476,0.0424472628027295
ID,IDN,Indonesia,2021-08-19,2021-08-19,1549,1549,1,0.0316333118140736,0.00871594806773269,0.0487165225965507,3.27115771944907e-05,0.0225952227243383,0.00740061691730885,0.0404868929170023,2.9949601445883e-05,0.0704365364690541,0.002898051744105,388,37,263,1209,0.0415288940416342,0.17866847826087,0.173397072871876,0.0415288940416342
ID,IDN,Indonesia,2021-08-20,2021-08-20,1613,1613,1,0.0384376937383757,0.00938206167594901,0.0359399108064778,2.81540194058703e-05,0.0216986980781153,0.00711023674750079,0.0202785783575851,2.13191512514035e-05,0.0676882096806661,0.00277296570931558,397,30,273,1271,0.0406256709187292,0.176813471502591,0.173574455465315,0.0406256709187292
ID,IDN,Indonesia,2021-08-21,2021-08-21,1515,1515,1,0.0422442244224422,0.0101286796381984,0.053188412130855,3.41878872126106e-05,0.031023102310231,0.00873053984057593,0.0399160913497021,2.98236344121172e-05,0.0821176349746029,0.00314035996295589,414,45,272,1179,0.0397408006463488,0.187456926257753,0.173705761856941,0.0397408006463488
