"date","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-06-07,"AT","Austria","AUT",8858775,0,7,790,73,787,35,135,11814,2110,11803,0,0,0,0.00886075949367089,0.00232588343480666,0.0153956355525351,0.00175013785332406,0.00134901394461886,0.00215126176202927,0.00296258676146944,0.00198255336733981,0.00394262015559907,0.0114271203656679,0.00951056065322811,0.0133436800781076,0.0033729832038225,0.00322930616457194,0.00351666024307307,0.00296258676146944
2020-06-08,"AT","Austria","AUT",8858775,3,10,759,188,758,30,126,11528,2047,11519,0.00395256916996047,0,0.00841639203335041,0.0131752305665349,0.00506326056356495,0.0212872005695049,0.00467964355055509,0.00401227861614795,0.00534700848496222,0.00260235947258848,0.00167234668773521,0.00353237225744175,0.0109299097848716,0.00903192411018931,0.0128278954595539,0.0033529509080158,0.00320794454594143,0.00349795727009016,0.00260235947258848
2020-06-09,"AT","Austria","AUT",8858775,2,4,785,156,784,28,124,11373,2106,11363,0.00254777070063694,0,0.00607423494477683,0.00509554140127389,0.000114741227334191,0.0100763415752136,0.00375433192144782,0.0031662989460303,0.00434236489686535,0.00246197133561945,0.00155118438817201,0.00337275828306689,0.0109030159148861,0.00899446683232955,0.0128115649974427,0.00349695054621172,0.00334786082103578,0.00364604027138766,0.00246197133561945
2020-06-10,"AT","Austria","AUT",8858775,1,13,768,76,767,29,130,11234,2075,11223,0.00130208333333333,0,0.00385245774828098,0.0169270833333333,0.00780379474007501,0.0260503719265917,0.00186957270423852,0.00144964231830655,0.00228950309017048,0.00258144917215596,0.00164312826943337,0.00351977007487854,0.0115720135303543,0.00959432513855349,0.0135497019221551,0.00348845615220765,0.00333862108187307,0.00363829122254222,0.00258144917215596
2020-06-11,"AT","Austria","AUT",8858775,1,4,725,81,723,27,128,11045,2081,11032,0.00137931034482759,0,0.00408084388802129,0.00551724137931034,0.000125380112976643,0.010909102645644,0.00211383386831598,0.00165398308082422,0.00257368465580774,0.00244454504300589,0.00152360198871528,0.00336548809729649,0.0115889542779538,0.0095929744369522,0.0135849341189555,0.00355911448000328,0.00340647046602578,0.00371175849398078,0.00244454504300589
2020-06-12,"AT","Austria","AUT",8858775,2,11,687,111,686,23,119,10900,1965,10886,0.00291120815138282,0,0.00693998552180063,0.0160116448326055,0.00662559888299228,0.0253976907822188,0.00305297321084768,0.0024858915059692,0.00362005491572617,0.00211009174311927,0.00124864818759362,0.00297153529864491,0.0109174311926606,0.00896663747721743,0.0128682249081037,0.00340579383594646,0.00325546428928214,0.00355612338261078,0.00211009174311927
2020-06-13,"AT","Austria","AUT",8858775,3,11,658,133,658,24,120,10678,1849,10665,0.00455927051671732,0,0.00970670144836012,0.0167173252279635,0.00692112318932812,0.0265135272665989,0.00381372942593336,0.00316682157131039,0.00446063728055634,0.00224761191234314,0.00134940750174652,0.00314581632293975,0.0112380595617157,0.00923868267112172,0.0132374364523096,0.00327114790931366,0.00312229122808022,0.0034200045905471,0.00224761191234314
2020-06-14,"AT","Austria","AUT",8858775,3,10,766,104,766,26,122,10539,1715,10527,0.00391644908616188,0,0.00833956003099043,0.0130548302872063,0.00501650023396123,0.0210931603404513,0.00256170254692349,0.00206999922646087,0.00305340586738611,0.00246702723218522,0.0015199203543495,0.00341413411002094,0.0115760508587152,0.00953384164298162,0.0136182600744489,0.00307385680308138,0.00292860178218644,0.00321911182397633,0.00246702723218522
2020-06-15,"AT","Austria","AUT",8858775,3,7,749,115,748,28,127,10570,1776,10557,0.00400534045393859,0,0.00852864058975708,0.00934579439252336,0.00245488821090978,0.0162367005741369,0.00290081727373625,0.00237141143851647,0.00343022310895604,0.00264900662251656,0.00166911931639192,0.00362889392864119,0.0120151371807001,0.00993807207590758,0.0140922022854926,0.00317414359782743,0.00302675535953269,0.00332153183612217,0.00264900662251656
2020-06-16,"AT","Austria","AUT",8858775,2,9,639,69,636,29,126,10414,1749,10398,0.00312989045383412,0,0.00746082397820785,0.0140845070422535,0.00494782875402195,0.0232211853304851,0.00204699181203275,0.00156449472364661,0.00252948890041889,0.00278471288649894,0.0017726115918477,0.00379681418115019,0.0120990973689264,0.00999932371946094,0.0141988710183919,0.00317368724754761,0.0030251870403102,0.00332218745478501,0.00278471288649894
2020-06-17,"AT","Austria","AUT",8858775,2,8,732,56,732,30,124,10427,1642,10412,0.00273224043715847,0,0.0065136863882489,0.0109289617486339,0.00339721435173293,0.0184607091455348,0.00144344777812146,0.00106566558216401,0.0018212299740789,0.00287714587129567,0.001849073518702,0.00390521822388935,0.0118922029346888,0.00981154003562488,0.0139728658337527,0.00297552171297269,0.00283181483685395,0.00311922858909144,0.00287714587129567
2020-06-18,"AT","Austria","AUT",8858775,2,8,685,273,684,30,123,10254,1750,10239,0.00291970802919708,0,0.00696023103102796,0.0116788321167883,0.0036333594890878,0.0197243047444888,0.00753061900033102,0.00664068868383981,0.00842054931682222,0.00292568753657109,0.00188029554414902,0.00397107952899316,0.0119953188999415,0.00988821071178128,0.0141024270881017,0.0032248137439719,0.00307396826032325,0.00337565922762055,0.00292568753657109
2020-06-19,"AT","Austria","AUT",8858775,1,4,696,133,695,27,114,10170,1689,10155,0.0014367816091954,0,0.00425079807229628,0.00574712643678161,0.000131253480694795,0.0113629993928684,0.00361069634858151,0.00299816578219757,0.00422322691496546,0.00265486725663717,0.00165479413201637,0.00365494038125797,0.0112094395280236,0.00916331661075871,0.0132555624452885,0.00313815111061565,0.00298872564900915,0.00328757657222214,0.00265486725663717
2020-06-20,"AT","Austria","AUT",8858775,3,9,849,186,847,28,115,10288,1754,10271,0.00353356890459364,0,0.00752503426406216,0.0106007067137809,0.00371184521346182,0.0174895682141,0.004143369494999,0.00354915438257185,0.00473758460742614,0.00272161741835148,0.00171490748539319,0.00372832735130976,0.0111780715396579,0.00914653283873109,0.0132096102405846,0.00322211465511065,0.00307156717737389,0.00337266213284741,0.00272161741835148
2020-06-21,"AT","Austria","AUT",8858775,3,3,860,95,860,31,111,10358,1776,10344,0.00348837209302326,0,0.0074288731875805,0.00348837209302326,0,0.0074288731875805,0.00208424747696358,0.00166556719119539,0.00250292776273177,0.00299285576366094,0.00194088864224145,0.00404482288508042,0.0107163545085924,0.00873348521003419,0.0126992238071506,0.00323950444337434,0.00308908617008399,0.00338992271666468,0.00299285576366094
2020-06-22,"AT","Austria","AUT",8858775,6,8,795,286,793,34,109,10394,1874,10379,0.00754716981132075,0.0015311185955171,0.0135632210271244,0.010062893081761,0.00312496557418097,0.017000820589341,0.00680482523971543,0.00601886721745615,0.00759078326197471,0.003271117952665,0.00217339344956267,0.00436884245576733,0.0104868193188378,0.0085284733458624,0.0124451652918132,0.00340673384391923,0.00325275520481191,0.00356071248302656,0.003271117952665
