"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active"
"2020-11-08","LR",4661010,6,0,1442,82,6087.90728632835,5941.16649564469,6238.27242581056,0,0,0.00130613478330412,0.00127465216672882,0.00133839498859916,0,0
"2020-11-09","LR",4661010,6,0,1448,82,6101.78719910189,5954.69420268164,6252.51369018356,0,0,0.00130911265993892,0.0012775544791111,0.00134145039169269,0,0
"2020-11-10","LR",4661010,0,0,1448,82,6090.11759310174,5943.28836998045,6240.574239195,0,0,0.00130660899528251,0.00127510740590139,0.00133888883293428,0,0
"2020-11-11","LR",4661010,13,0,1461,82,6132.68944042534,5984.81624633546,6284.21629414825,0,0,0.00131574260523478,0.00128401703629373,0.00134825205141123,0,0
"2020-11-12","LR",4661010,0,0,1461,82,6119.9716787353,5972.38766147976,6271.20265318515,0,0,0.00131301406320418,0.001281350535931,0.00134546002973286,0,0
"2020-11-13","LR",4661010,7,0,1468,82,6135.41763009191,5987.44368377858,6287.04861101701,0,0,0.00131632792679954,0.00128458074189469,0.00134885971302722,0,0
"2020-11-14","LR",4661010,23,0,1491,82,6216.79956541303,6066.84524571744,6370.46030864253,0,0,0.00133378807713629,0.00130161601149052,0.00136675534028945,0,0
"2020-11-15","LR",4661010,7,0,1498,82,6229.22343079184,6078.94603281162,6383.2158307184,0,0,0.0013364535649552,0.00130421218422866,0.00136949198365127,0,0
"2020-11-16","LR",4661010,9,0,1507,82,6246.52871456566,6095.80468132012,6400.97952965305,0,0,0.0013401663404639,0.00130782913602848,0.00137330311019566,0,0
"2020-11-17","LR",4661010,5,0,1512,82,6244.54404451573,6093.83895922347,6398.97617656537,0,0,0.00133974053789109,0.00130740739865898,0.00137287329925603,0,0
"2020-11-18","LR",4661010,0,0,1512,82,6220.21687189955,6070.07026758556,6374.07743697398,0,0,0.00133452124580285,0.00130230792630472,0.00136753137988848,0,0
"2020-11-19","LR",4661010,5,0,1517,82,6216.07097956305,6065.99038057433,6369.86477042642,0,0,0.00133363176212088,0.00130143260378637,0.00136662757008168,0,0
"2020-11-20","LR",4661010,22,0,1539,82,6281.80734798515,6130.10546585931,6437.26340060099,0,0,0.00134773522219115,0.00131518822441044,0.00138108766138691,0,0
"2020-11-21","LR",4661010,0,0,1539,82,6256.97810690307,6105.84210381412,6411.85513228531,0,0,0.00134240821343509,0.00130998262261058,0.00137563642478461,0,0
"2020-11-22","LR",4661010,15,0,1554,82,6291.52540047464,6139.52127365049,6447.29289149964,0,0,0.0013498201892883,0.00131720834618473,0.00138323944627873,0,0
"2020-11-23","LR",4661010,0,0,1554,82,6264.26729015296,6112.88850062389,6419.39480467791,0,0,0.00134397207690028,0.00131149439727095,0.0013772540296369,0,0
"2020-11-24","LR",4661010,0,0,1554,82,6236.38274751416,6085.63955225249,6390.85989887404,0,0,0.00133798956610566,0.00130564825054065,0.00137113198617339,0,0
"2020-11-25","LR",4661010,0,0,1554,82,6209.29081736481,6059.17012067548,6363.13087217179,0,0,0.00133217710697141,0.00129996934584467,0.00136518284066582,0,0
"2020-11-26","LR",4661010,24,1,1578,83,6356.02822683748,6204.1134476117,6511.66281234052,0,0,0.00136365899812218,0.0013310663241683,0.00139704974079449,0,0
"2020-11-27","LR",4661010,13,0,1591,83,6382.77926447655,6230.19237371815,6539.10324035765,0,0,0.00136939832020883,0.00133666144756569,0.00140293696867367,0,0
"2020-11-28","LR",4661010,4,0,1595,83,6371.42097518244,6219.0678192693,6527.50644030834,0,0,0.00136696144723621,0.00133427472141645,0.00140044892422637,0,0
"2020-11-29","LR",4661010,0,0,1595,83,6342.4096972337,6190.71298155622,6497.82357660717,0,0,0.00136073720014196,0.00132819131080092,0.00139408059124678,0,0
"2020-11-30","LR",4661010,3,0,1598,83,6325.19602751998,6173.8741931186,6480.22676444356,0,0,0.00135704408004273,0.00132457861989539,0.00139030526955393,0,0
"2020-12-01","LR",4661010,0,0,1598,83,6297.19208708372,6146.50904644188,6451.56915608631,0,0,0.0013510359529552,0.00131870754330969,0.00138415690077608,0,0
"2020-12-02","LR",4661010,0,0,1598,83,6270.87207594131,6120.78293890578,6424.64158349167,0,0,0.00134538910578207,0.0013131881156457,0.00137837970386068,0,0
"2020-12-03","LR",4661010,0,0,1598,83,6246.65845998038,6097.11846817024,6399.86612025839,0,0,0.00134019417679438,0.00130811100344566,0.00137306423291484,0,0
"2020-12-04","LR",4661010,0,0,1598,83,6224.69613916363,6075.65685039223,6377.39144573599,0,0,0.00133548225366683,0.0013035065040393,0.00136824238646473,0,0
"2020-12-05","LR",4661010,65,0,1663,83,6457.32861295552,6302.69352711042,6615.75763383356,0,0,0.00138539256791029,0.00135221626366612,0.00141938284488417,0,0
"2020-12-06","LR",4661010,13,0,1676,83,6485.04102363825,6329.71653285916,6644.17701171119,0,0,0.00139133814852108,0.00135801393536147,0.00142548010231928,0,0
"2020-12-07","LR",4661010,0,0,1676,83,6454.90617669329,6300.262753455,6613.34540802509,0,0,0.00138487284444644,0.00135169475144979,0.00141886531203003,0,0
"2020-12-08","LR",4661010,0,0,1676,83,6419.9204487087,6266.0751313516,6577.54299202887,0,0,0.00137736680434256,0.00134435994159026,0.00141118405496424,0,0
"2020-12-09","LR",4661010,0,0,1676,83,6383.90415285485,6230.87758359126,6540.68896172216,0,0,0.00136963966025708,0.00133680845644855,0.00140327717849182,0,0
"2020-12-10","LR",4661010,0,0,1676,83,6349.23556845559,6196.99643277362,6505.21470216476,0,0,0.00136220166196931,0.00132953939870835,0.00139566632600333,0,0
"2020-12-11","LR",4661010,0,0,1676,83,6317.05627351152,6165.55057374911,6472.28491363196,0,0,0.00135529773021545,0.00132279282253184,0.00138860137902128,0,0
"2020-12-12","LR",4661010,0,0,1676,83,6287.77890816645,6136.94247379889,6442.32266585173,0,0,0.0013490163951947,0.00131665507557351,0.00138217310536809,0,0
"2020-12-13","LR",4661010,0,0,1676,83,6261.43293342966,6111.19602013371,6415.36325306413,0,0,0.00134336397764211,0.00131113128273351,0.00137638907727384,0,0
"2020-12-14","LR",4661010,95,0,1771,83,6591.44053570378,6433.2563366817,6753.5142487621,0,0,0.00141416571423442,0.00138022796275522,0.00144893794451462,0,0
"2020-12-15","LR",4661010,0,0,1771,83,6563.26530926416,6405.7237621707,6724.68141292329,0,0,0.00140812083845865,0.00137432096523515,0.00144275198142104,0,0
"2020-12-16","LR",4661010,0,0,1771,83,6525.49659441152,6368.81921478499,6686.02834648273,0,0,0.00140001772028198,0.0013664032505369,0.00143445912934809,0,0
"2020-12-17","LR",4661010,0,0,1771,83,6482.9675653054,6327.26043353572,6642.50648353916,0,0,0.00139089329679735,0.00135748698963008,0.00142512169755893,0,0
"2020-12-18","LR",4661010,0,0,1771,83,6440.11630722271,6285.38850521809,6598.65305320802,0,0,0.0013816997404474,0.00134850354434298,0.00141571312938784,0,0
"2020-12-19","LR",4661010,8,0,1779,83,6428.30640159918,6273.81766121059,6586.59932824175,0,0,0.00137916597509964,0.00134602106865478,0.00141312705363038,0,0
"2020-12-20","LR",4661010,0,0,1779,83,6390.17290043058,6236.55672344157,6547.57288487604,0,0,0.00137098459356032,0.00133802689190574,0.00140475409511587,0,0
"2020-12-21","LR",4661010,9,0,1788,83,6386.81368066296,6233.23491896943,6544.17642232033,0,0,0.00137026388715385,0.00133731421279281,0.00140402539842659,0,0
"2020-12-22","LR",4661010,0,0,1788,83,6353.5950523596,6200.77670725183,6510.17961058938,0,0,0.00136313697081954,0.00133035044062378,0.00139673152612618,0,0
