"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2021/01/03","AE",9770526,1590,5,213231,679,53801.4342321462,53545.6245039685,54058.4660698357,431.377580996035,3232.32354989547,4322.94416643548,0.00550650335838072,0.00548032158186453,0.00553281021613736,4.41509066140385e-05,0.000330823903431143,0.000442447434911435
"2021/01/04","AE",9770526,1501,3,214732,682,54039.1349941172,53782.874204753,54296.616796548,237.700761971035,3255.04118316561,4324.8856003633,0.00553083170692317,0.0055046037649102,0.00555718461795691,2.43283485424464e-05,0.000333149022188325,0.000442646138024023
"2021/01/05","AE",9770526,1967,3,216699,685,54384.5220335824,54127.3007946522,54642.9656273092,345.387039465197,3446.51722032112,4602.70010370576,0.00556618159898274,0.00553985535626764,0.00559263294804284,3.53498920595674e-05,0.000352746333239492,0.000471080073243319
"2021/01/06","AE",9770526,2067,4,218766,689,54826.0144148562,54567.6076013156,55085.6449228964,441.492381273783,3440.1468160271,4748.66249543132,0.00561136774159919,0.00558492015694095,0.00563794056971922,4.51861426164552e-05,0.000352094331055166,0.000486019124807745
"2021/01/07","AE",9770526,2988,5,221754,694,55567.4571630226,55306.6852740405,55829.4585955534,741.442748166388,4050.01375546999,5296.47644061908,0.00568725339485536,0.00566056374795385,0.00571406888386085,7.58856532561694e-05,0.000414513379880468,0.00054208713436913
"2021/01/08","AE",9770526,2950,3,224704,697,56121.9028590376,55859.2038996656,56385.8372592759,554.445696015042,4545.61566351898,5761.02665630664,0.00574400015506203,0.00571711327513643,0.00577101348067401,5.67467602066707e-05,0.000465237558706561,0.000589633214865468
"2021/01/09","AE",9770526,2998,5,227702,702,56823.1724976466,56558.3194190362,57089.265838591,701.269638609032,5086.96852500076,6254.06181539595,0.00581577414538855,0.00578866679429912,0.00584300843563499,7.1773990326522e-05,0.000520644285169576,0.000640094690438974
"2021/01/10","AE",9770526,2876,6,230578,708,57545.1554520727,57278.2878384067,57813.266439553,721.982954426079,5602.13457261137,6761.06164112113,0.00588966811531669,0.00586235457931402,0.00591710890893213,7.38939699281368e-05,0.000573370826976088,0.000691985430581847
"2021/01/11","AE",9770526,2404,3,232982,711,57874.6857139682,57606.9579275419,58143.6577627233,329.530261895496,5589.63224011178,6936.68090070694,0.00592339508783542,0.00589599351432481,0.00595092400989704,3.37269725187258e-05,0.000572091230309584,0.000709959822092172
"2021/01/12","AE",9770526,3243,6,236225,717,58629.7977827834,58359.918025252,58900.9255729713,755.112068815193,5925.52642021736,7243.93018395433,0.0060006797774023,0.00597305795258638,0.00602842933665714,7.72846895668865e-05,0.000606469541170798,0.000741406366858277
"2021/01/13","AE",9770526,3362,6,239587,723,59390.509847434,59118.464291027,59663.8072764268,760.712064650579,6400.70314179797,7873.06643988141,0.00607853761889933,0.00605069412752466,0.00610650923772443,7.78578414970268e-05,0.000655103230040836,0.000805797603924437
"2021/01/14","AE",9770526,3382,3,242969,726,59881.6965982802,59608.063380352,60156.5859405263,491.186750846224,6511.63994713008,8305.40940276158,0.00612880991241211,0.00610080392604779,0.00615694446138584,5.02722935127775e-05,0.000666457460645423,0.000850047316056636
