"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2021-07-07","VC",110696,0,0,2240,12,887.360580976618,752.891802445432,1045.84589460745,0,0,0.00801619372855946,0.00680143638835579,0.00944791044488919,0,0,0.00801619372855946,0.00680143638835579,0.00944791044488919,0,0
"2021-07-08","VC",110696,0,0,2240,12,885.922677492007,751.670574955382,1044.1528731402,0,0,0.00800320406782546,0.00679040412440722,0.00943261611205643,0,0,0.00800320406782546,0.00679040412440722,0.00943261611205643,0,0
"2021-07-09","VC",110696,1,0,2241,12,884.96118055729,750.853870812394,1043.02091463684,0,0,0.0079945181448046,0.00678302622328173,0.00942239028182443,0,0,0.0079945181448046,0.00678302622328173,0.00942239028182443,0,0
"2021-07-10","VC",110696,0,0,2241,12,883.699064658245,749.782108371875,1041.53463807453,0,0,0.00798311650518758,0.00677334418923787,0.00940896363079539,0,0,0.00798311650518758,0.00677334418923787,0.00940896363079539,0,0
"2021-07-11","VC",110696,1,0,2242,12,882.92465635259,749.124150212617,1040.62317117141,0,0,0.00797612069408642,0.00676740035965723,0.009400729666577,0,0,0.00797612069408642,0.00676740035965723,0.009400729666577,0,0
"2021-07-12","VC",110696,3,0,2245,12,883.026229243517,749.209428118265,1040.74413944633,0,0,0.007977038278199,0.00676817073894508,0.00940182246374155,0,0,0.007977038278199,0.00676817073894508,0.00940182246374155,0,0
"2021-07-13","VC",110696,0,0,2245,12,882.010193257729,748.346766143839,1039.54746142514,0,0,0.00796785966302061,0.00676037766625568,0.00939101197355944,0,0,0.00796785966302061,0.00676037766625568,0.00939101197355944,0,0
"2021-07-14","VC",110696,4,0,2249,12,882.608293430841,748.853329883776,1040.25363652159,0,0,0.00797326275051348,0.0067649538364871,0.00939739138290083,0,0,0.00797326275051348,0.0067649538364871,0.00939739138290083,0,0
"2021-07-15","VC",110696,9,0,2258,12,885.196005035265,751.048287475607,1043.30437922188,0,0,0.00799663949045372,0.00678478253483059,0.00942495103004517,0,0,0.00799663949045372,0.00678478253483059,0.00942495103004517,0,0
"2021-07-16","VC",110696,0,0,2258,12,884.213230130283,750.213552485743,1042.14731091823,0,0,0.00798776134756706,0.00677724174754049,0.00941449836415254,0,0,0.00798776134756706,0.00677724174754049,0.00941449836415254,0,0
